"GEO_ID","NAME","NAICS","NAICS_LABEL","EAGE","EAGE_LABEL","YEAR","FIRM","ESTAB","EMP","DENOM","ESTABS_ENTRY","ESTABS_ENTRY_RATE","ESTABS_EXIT","ESTABS_EXIT_RATE","JOB_CREATION","JOB_CREATION_BIRTHS","JOB_CREATION_CONTINUERS","JOB_CREATION_RATE_BIRTHS","JOB_CREATION_RATE","JOB_DESTRUCTION","JOB_DESTRUCTION_DEATHS","JOB_DESTRUCTION_CONTINUERS","JOB_DESTRUCTION_RATE_DEATHS","JOB_DESTRUCTION_RATE","NET_JOB_CREATION","NET_JOB_CREATION_RATE","REALLOCATION_RATE","FIRMDEATH_FIRMS","FIRMDEATH_ESTABS","FIRMDEATH_EMP"
"id","Geographic Area Name","2012 NAICS Code","Meaning of NAICS code","Establishment age code","Meaning of Establishment age code","Year","Number of firms","Number of establishments","Number of employees","(DHS) denominator","Number of establishments born during the last 12 months","Rate of establishments born during the last 12 months","Number of establishments exited during the last 12 months","Rate of establishments exited during the last 12 months","Number of jobs created from expanding and opening establishments during the last 12 months","Number of jobs created from opening establishments during the last 12 months","Number of jobs created from expanding establishments during the last 12 months","Rate of jobs created from opening establishments during the last 12 months","Rate of jobs created from expanding and opening establishments during the last 12 months","Number of jobs lost from contracting and closing establishments during the last 12 months","Number of jobs lost from closing establishments during the last 12 months","Number of jobs lost from contracting establishments during the last 12 months","Rate of jobs lost from closing establishments during the last 12 months","Rate of jobs lost from contracting and closing establishments during the last 12 months","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of reallocation during the last 12 months","Number of firms that exited during the last 12 months","Number of establishments associated with firm deaths during the last 12 months","Number of employees associated with firm deaths during the last 12 months"
"0100000US","United States","31-33","Manufacturing","001","Total","1978","262447","309140","18118738","17695911","34851","11.394","28289","9.249","2561684","703506","1858178","3.976","14.476","1717524","736021","981503","4.159","9.706","844160","4.770","19.412","19107","19255","225619"
"0100000US","United States","31-33","Manufacturing","010","0 years","1978","29792","31122","529706","264853","31122","200.000","0","0.000","529706","529706","0","200.000","200.000","0","0","0","0.000","0.000","529706","200.000","0.000","0","0","0"
"0100000US","United States","31-33","Manufacturing","020","1 year","1978","24221","26244","707947","701616","0","0.000","7227","24.205","165528","0","165528","0.000","23.592","153089","92647","60442","13.205","21.819","12439","1.773","43.639","5275","5297","46933"
"0100000US","United States","31-33","Manufacturing","030","2 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","040","3 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","050","4 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","060","5 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","070","6-10 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","080","11-15 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","090","16-20 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","100","21-25 years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","110","26+ years","1978","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","150","Left Censored","1978","212577","251774","16881085","16729442","3729","1.432","21062","8.087","1867682","173800","1693882","1.039","11.164","1564561","643374","921187","3.846","9.352","303121","1.812","18.704","13859","13958","178686"
"0100000US","United States","31-33","Manufacturing","001","Total","1979","255685","302989","18901965","18524057","31115","10.229","33510","11.016","2590741","707357","1883384","3.819","13.986","1829752","741721","1088031","4.004","9.878","760989","4.108","19.755","19503","19689","223738"
"0100000US","United States","31-33","Manufacturing","010","0 years","1979","25378","26762","514434","257217","26762","200.000","0","0.000","514434","514434","0","200.000","200.000","0","0","0","0.000","0.000","514434","200.000","0.000","0","0","0"
"0100000US","United States","31-33","Manufacturing","020","1 year","1979","21941","23082","560436","545532","0","0.000","7932","29.326","154397","0","154397","0.000","28.302","124509","75012","49497","13.750","22.823","29888","5.479","45.647","5020","5035","38234"
"0100000US","United States","31-33","Manufacturing","030","2 years","1979","20309","22112","723763","716232","744","3.092","4640","19.285","140974","18577","122397","2.594","19.683","125903","68028","57875","9.498","17.579","15071","2.104","35.157","2911","2926","27224"
"0100000US","United States","31-33","Manufacturing","040","3 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","050","4 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","060","5 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","070","6-10 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","080","11-15 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","090","16-20 years","1979","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
