GeographySummary	GeographyVariant	GeographyNation	GeographyState	2017 NAICS code	Employment size of establishments code	Year	Number of establishments
040	0000	US	01	31-33	1	2017	4133
040	0000	US	01	31-33	100	2017	4101
040	0000	US	01	31-33	210	2017	1657
040	0000	US	01	31-33	215	2017	474
040	0000	US	01	31-33	220	2017	480
040	0000	US	01	31-33	225	2017	601
040	0000	US	01	31-33	230	2017	341
040	0000	US	01	31-33	235	2017	318
040	0000	US	01	31-33	240	2017	230
040	0000	US	01	31-33	500	2017	32
040	0000	US	02	31-33	1	2017	535
040	0000	US	02	31-33	100	2017	486
040	0000	US	02	31-33	210	2017	270
040	0000	US	02	31-33	215	2017	85
040	0000	US	02	31-33	220	2017	56
040	0000	US	02	31-33	225	2017	45
040	0000	US	02	31-33	230	2017	8
040	0000	US	02	31-33	235	2017	12
040	0000	US	02	31-33	240	2017	10
040	0000	US	02	31-33	500	2017	49
040	0000	US	04	31-33	1	2017	4343
040	0000	US	04	31-33	100	2017	4302
040	0000	US	04	31-33	210	2017	2057
040	0000	US	04	31-33	215	2017	598
040	0000	US	04	31-33	220	2017	562
040	0000	US	04	31-33	225	2017	549
040	0000	US	04	31-33	230	2017	279
040	0000	US	04	31-33	235	2017	168
040	0000	US	04	31-33	240	2017	89
040	0000	US	04	31-33	500	2017	41
040	0000	US	05	31-33	1	2017	2571
040	0000	US	05	31-33	100	2017	2543
040	0000	US	05	31-33	210	2017	1099
040	0000	US	05	31-33	215	2017	331
040	0000	US	05	31-33	220	2017	285
040	0000	US	05	31-33	225	2017	332
040	0000	US	05	31-33	230	2017	172
040	0000	US	05	31-33	235	2017	177
040	0000	US	05	31-33	240	2017	147
040	0000	US	05	31-33	500	2017	28
040	0000	US	06	31-33	1	2017	37887
040	0000	US	06	31-33	100	2017	37564
040	0000	US	06	31-33	210	2017	18437
040	0000	US	06	31-33	215	2017	5066
040	0000	US	06	31-33	220	2017	4701
040	0000	US	06	31-33	225	2017	4799
040	0000	US	06	31-33	230	2017	2214
040	0000	US	06	31-33	235	2017	1630
040	0000	US	06	31-33	240	2017	717
040	0000	US	06	31-33	500	2017	323
040	0000	US	08	31-33	1	2017	5111
040	0000	US	08	31-33	100	2017	5051
040	0000	US	08	31-33	210	2017	2674
040	0000	US	08	31-33	215	2017	697
040	0000	US	08	31-33	220	2017	623
040	0000	US	08	31-33	225	2017	595
040	0000	US	08	31-33	230	2017	235
040	0000	US	08	31-33	235	2017	154
040	0000	US	08	31-33	240	2017	73
040	0000	US	08	31-33	500	2017	60
040	0000	US	09	31-33	1	2017	3986
040	0000	US	09	31-33	100	2017	3950
040	0000	US	09	31-33	210	2017	1680
040	0000	US	09	31-33	215	2017	511
040	0000	US	09	31-33	220	2017	564
040	0000	US	09	31-33	225	2017	593
040	0000	US	09	31-33	230	2017	315
040	0000	US	09	31-33	235	2017	217
